date,time,home_team,away_team,score,format
2024-12-0714:00,14:00,佛山DRG,重庆狼队,2:0,BO3
2024-12-0715:30,15:30,深圳KLG,TBD,2:1,BO3
2024-12-0717:00,17:00,桐乡情久,上海EDG.M,2:1,BO3
2024-12-0719:00,19:00,苏州KSG,世巨A,2:0,BO3
2024-12-0720:30,20:30,成都AG超玩会,佳美娜,2:1,BO3
2024-12-0814:00,14:00,郑州MTG,青训凌云,1:2,BO3
2024-12-0815:30,15:30,MD,辣翻你是绝队,2:1,BO3
2024-12-0817:00,17:00,梦之队Pro,杭州LGD.NBW,0:2,BO3
2024-12-0819:00,19:00,TCG,济南RW侠,1:2,BO3
2024-12-0820:30,20:30,武汉eStarPro,北京WB,2:1,BO3
2024-12-0914:00,14:00,深圳KLG,世巨A,2:0,BO3
2024-12-0915:30,15:30,上海EDG.M,佳美娜,2:0,BO3
2024-12-0917:00,17:00,广州TTG,LTG,2:0,BO3
2024-12-0919:00,19:00,苏州KSG,TBD,2:0,BO3
2024-12-0920:30,20:30,WST,重庆狼队,0:2,BO3
2024-12-1014:00,14:00,辣翻你是绝队,济南RW侠,1:2,BO3
2024-12-1015:30,15:30,TCG,郑州MTG,2:1,BO3
2024-12-1017:00,17:00,MD,青训凌云,0:2,BO3
2024-12-1019:00,19:00,成都AG超玩会,桐乡情久,2:0,BO3
2024-12-1020:30,20:30,杭州LGD.NBW,西安WE,2:1,BO3
2024-12-1414:00,14:00,桐乡情久,LTG,2:0,BO3
2024-12-1415:30,15:30,梦之队Pro,WST,2:0,BO3
2024-12-1417:00,17:00,佛山DRG,杭州LGD.NBW,2:1,BO3
2024-12-1419:00,19:00,佳美娜,广州TTG,1:2,BO3
2024-12-1420:30,20:30,重庆狼队,西安WE,2:0,BO3
2024-12-1514:00,14:00,TCG,青训凌云,1:2,BO3
2024-12-1515:30,15:30,MD,济南RW侠,2:1,BO3
2024-12-1517:00,17:00,世巨A,北京WB,0:2,BO3
2024-12-1519:00,19:00,成都AG超玩会,上海EDG.M,2:0,BO3
2024-12-1520:30,20:30,苏州KSG,武汉eStarPro,1:2,BO3
2024-12-1614:00,14:00,LTG,佳美娜,2:0,BO3
2024-12-1615:30,15:30,WST,杭州LGD.NBW,0:2,BO3
2024-12-1617:00,17:00,郑州MTG,辣翻你是绝队,2:0,BO3
2024-12-1619:00,19:00,重庆狼队,梦之队Pro,2:1,BO3
2024-12-1620:30,20:30,佛山DRG,西安WE,1:2,BO3
2024-12-1714:00,14:00,世巨A,TBD,0:2,BO3
2024-12-1715:30,15:30,TCG,MD,2:0,BO3
2024-12-1717:00,17:00,广州TTG,上海EDG.M,2:1,BO3
2024-12-1719:00,19:00,深圳KLG,武汉eStarPro,1:2,BO3
2024-12-1720:30,20:30,苏州KSG,北京WB,2:0,BO3
2024-12-1914:00,14:00,深圳KLG,北京WB,1:2,BO3
2024-12-1915:30,15:30,青训凌云,济南RW侠,2:1,BO3
2024-12-1917:00,17:00,武汉eStarPro,TBD,2:0,BO3
2024-12-1919:00,19:00,MD,郑州MTG,2:1,BO3
2024-12-1920:30,20:30,TCG,辣翻你是绝队,2:1,BO3
2024-12-2014:00,14:00,LTG,上海EDG.M,2:1,BO3
2024-12-2015:30,15:30,桐乡情久,佳美娜,2:0,BO3
2024-12-2017:00,17:00,WST,佛山DRG,0:2,BO3
2024-12-2019:00,19:00,西安WE,梦之队Pro,0:2,BO3
2024-12-2020:30,20:30,广州TTG,成都AG超玩会,0:2,BO3
2024-12-2114:00,14:00,TBD,北京WB,1:2,BO3
2024-12-2115:30,15:30,济南RW侠,郑州MTG,2:0,BO3
2024-12-2117:00,17:00,青训凌云,辣翻你是绝队,2:0,BO3
2024-12-2119:00,19:00,世巨A,武汉eStarPro,0:2,BO3
2024-12-2120:30,20:30,重庆狼队,杭州LGD.NBW,0:2,BO3
2024-12-2214:00,14:00,WST,西安WE,0:2,BO3
2024-12-2215:30,15:30,深圳KLG,苏州KSG,0:2,BO3
2024-12-2217:00,17:00,成都AG超玩会,LTG,2:0,BO3
2024-12-2219:00,19:00,佛山DRG,梦之队Pro,0:2,BO3
2024-12-2220:30,20:30,广州TTG,桐乡情久,2:1,BO3
2024-12-2614:00,14:00,杭州LGD.NBW,MD,4:0,BO7
2024-12-2619:00,19:00,苏州KSG,TCG,4:2,BO7
2024-12-2714:00,14:00,武汉eStarPro,重庆狼队,1:4,BO7
2024-12-2719:00,19:00,济南RW侠,北京WB,4:2,BO7
2024-12-2814:00,14:00,成都AG超玩会,LTG,4:0,BO7
2024-12-2819:00,19:00,广州TTG,桐乡情久,0:4,BO7
2024-12-2914:00,14:00,青训凌云,深圳KLG,4:2,BO7
2024-12-2919:00,19:00,梦之队Pro,佛山DRG,1:4,BO7
2024-12-3114:00,14:00,杭州LGD.NBW,苏州KSG,1:4,BO7
2024-12-3119:00,19:00,重庆狼队,济南RW侠,4:2,BO7
2025-01-0114:00,14:00,成都AG超玩会,桐乡情久,4:0,BO7
2025-01-0119:00,19:00,青训凌云,佛山DRG,3:4,BO7
2025-01-0419:00,19:00,苏州KSG,重庆狼队,2:4,BO7
2025-01-0519:00,19:00,成都AG超玩会,佛山DRG,4:2,BO7
2025-01-1116:00,16:00,重庆狼队,成都AG超玩会,3:5,BO9
