date,time,home_team,away_team,score,format
2024-06-1214:00,14:00,重庆狼队,广州TTG,0:3,BO5
2024-06-1217:00,17:00,北京JDG,TCG,1:3,BO5
2024-06-1220:00,20:00,北京WB,武汉eStarPro,2:3,BO5
2024-06-1314:00,14:00,上海RNG.M,长沙TES.A,3:2,BO5
2024-06-1317:00,17:00,南通Hero久竞,上海EDG.M,1:3,BO5
2024-06-1320:00,20:00,杭州LGD.NBW,西安WE,3:2,BO5
2024-06-1414:00,14:00,深圳DYG,TCG,2:3,BO5
2024-06-1417:00,17:00,佛山DRG,苏州KSG,1:3,BO5
2024-06-1420:00,20:00,济南RW侠,北京JDG,3:1,BO5
2024-06-1514:00,14:00,九江TKL,北京WB,0:3,BO5
2024-06-1517:00,17:00,上海RNG.M,武汉eStarPro,1:3,BO5
2024-06-1520:00,20:00,成都AG超玩会,长沙TES.A,3:0,BO5
2024-06-1614:00,14:00,南通Hero久竞,杭州LGD.NBW,0:3,BO5
2024-06-1617:00,17:00,济南RW侠,广州TTG,2:3,BO5
2024-06-1620:00,20:00,重庆狼队,深圳DYG,3:0,BO5
2024-06-1914:00,14:00,广州TTG,TCG,2:3,BO5
2024-06-1917:00,17:00,佛山DRG,杭州LGD.NBW,3:0,BO5
2024-06-1920:00,20:00,北京WB,上海RNG.M,3:1,BO5
2024-06-2014:00,14:00,西安WE,上海EDG.M,3:2,BO5
2024-06-2017:00,17:00,南通Hero久竞,苏州KSG,0:3,BO5
2024-06-2020:00,20:00,深圳DYG,北京JDG,3:0,BO5
2024-06-2114:00,14:00,上海RNG.M,九江TKL,3:0,BO5
2024-06-2117:00,17:00,武汉eStarPro,长沙TES.A,2:3,BO5
2024-06-2120:00,20:00,成都AG超玩会,北京WB,3:1,BO5
2024-06-2214:00,14:00,济南RW侠,TCG,1:3,BO5
2024-06-2217:00,17:00,广州TTG,深圳DYG,3:2,BO5
2024-06-2220:00,20:00,重庆狼队,北京JDG,3:0,BO5
2024-06-2314:00,14:00,佛山DRG,西安WE,3:1,BO5
2024-06-2317:00,17:00,苏州KSG,上海EDG.M,3:0,BO5
2024-06-2320:00,20:00,成都AG超玩会,九江TKL,3:0,BO5
2024-06-2614:00,14:00,南通Hero久竞,西安WE,3:2,BO5
2024-06-2617:00,17:00,佛山DRG,上海EDG.M,3:1,BO5
2024-06-2620:00,20:00,武汉eStarPro,九江TKL,3:2,BO5
2024-06-2714:00,14:00,深圳DYG,济南RW侠,3:2,BO5
2024-06-2717:00,17:00,杭州LGD.NBW,苏州KSG,0:3,BO5
2024-06-2720:00,20:00,成都AG超玩会,上海RNG.M,3:0,BO5
2024-06-2814:00,14:00,九江TKL,长沙TES.A,3:2,BO5
2024-06-2817:00,17:00,重庆狼队,TCG,0:3,BO5
2024-06-2820:00,20:00,广州TTG,北京JDG,3:1,BO5
2024-06-2914:00,14:00,杭州LGD.NBW,上海EDG.M,3:2,BO5
2024-06-2917:00,17:00,佛山DRG,南通Hero久竞,3:2,BO5
2024-06-2920:00,20:00,成都AG超玩会,武汉eStarPro,2:3,BO5
2024-06-3014:00,14:00,苏州KSG,西安WE,2:3,BO5
2024-06-3017:00,17:00,北京WB,长沙TES.A,3:2,BO5
2024-06-3020:00,20:00,重庆狼队,济南RW侠,2:3,BO5
2024-07-0314:00,14:00,九江TKL,上海EDG.M,0:3,BO5
2024-07-0317:00,17:00,上海RNG.M,北京WB,0:3,BO5
2024-07-0320:00,20:00,佛山DRG,武汉eStarPro,2:3,BO5
2024-07-0414:00,14:00,北京JDG,长沙TES.A,0:3,BO5
2024-07-0417:00,17:00,TCG,广州TTG,0:3,BO5
2024-07-0420:00,20:00,重庆狼队,杭州LGD.NBW,3:0,BO5
2024-07-0514:00,14:00,北京WB,西安WE,3:2,BO5
2024-07-0517:00,17:00,南通Hero久竞,深圳DYG,3:2,BO5
2024-07-0520:00,20:00,成都AG超玩会,苏州KSG,3:2,BO5
2024-07-0614:00,14:00,佛山DRG,TCG,3:1,BO5
2024-07-0617:00,17:00,杭州LGD.NBW,济南RW侠,1:3,BO5
