date,time,home_team,away_team,score,format
2025-02-1214:00,14:00,北京JDG,南通Hero久竞,2:3,BO5
2025-02-1217:00,17:00,成都AG超玩会,北京WB,3:0,BO5
2025-02-1220:00,20:00,重庆狼队,广州TTG,3:1,BO5
2025-02-1314:00,14:00,佛山DRG,上海RNG.M,3:1,BO5
2025-02-1317:00,17:00,杭州LGD.NBW,桐乡情久,3:1,BO5
2025-02-1320:00,20:00,西安WE,武汉eStarPro,3:0,BO5
2025-02-1414:00,14:00,深圳DYG,南通Hero久竞,1:3,BO5
2025-02-1417:00,17:00,北京WB,济南RW侠,3:1,BO5
2025-02-1420:00,20:00,重庆狼队,苏州KSG,3:0,BO5
2025-02-1514:00,14:00,桐乡情久,深圳KLG,3:2,BO5
2025-02-1517:00,17:00,上海RNG.M,长沙TES.A,3:0,BO5
2025-02-1520:00,20:00,成都AG超玩会,杭州LGD.NBW,3:1,BO5
2025-02-1614:00,14:00,上海EDG.M,深圳DYG,3:2,BO5
2025-02-1617:00,17:00,武汉eStarPro,北京JDG,3:1,BO5
2025-02-1620:00,20:00,广州TTG,佛山DRG,3:1,BO5
2025-02-1914:00,14:00,西安WE,上海EDG.M,1:3,BO5
2025-02-1917:00,17:00,济南RW侠,深圳KLG,2:3,BO5
2025-02-1920:00,20:00,广州TTG,长沙TES.A,3:0,BO5
2025-02-2014:00,14:00,南通Hero久竞,武汉eStarPro,2:3,BO5
2025-02-2017:00,17:00,北京WB,桐乡情久,2:3,BO5
2025-02-2020:00,20:00,苏州KSG,上海RNG.M,3:0,BO5
2025-02-2114:00,14:00,杭州LGD.NBW,深圳KLG,3:1,BO5
2025-02-2117:00,17:00,佛山DRG,长沙TES.A,3:1,BO5
2025-02-2120:00,20:00,成都AG超玩会,济南RW侠,1:3,BO5
2025-02-2214:00,14:00,西安WE,南通Hero久竞,1:3,BO5
2025-02-2217:00,17:00,苏州KSG,广州TTG,3:2,BO5
2025-02-2220:00,20:00,北京JDG,深圳DYG,3:1,BO5
2025-02-2314:00,14:00,上海EDG.M,武汉eStarPro,3:1,BO5
2025-02-2317:00,17:00,深圳KLG,北京WB,1:3,BO5
2025-02-2320:00,20:00,重庆狼队,佛山DRG,2:3,BO5
2025-02-2614:00,14:00,桐乡情久,济南RW侠,0:3,BO5
2025-02-2617:00,17:00,上海EDG.M,南通Hero久竞,1:3,BO5
2025-02-2620:00,20:00,杭州LGD.NBW,北京WB,3:0,BO5
2025-02-2714:00,14:00,北京JDG,西安WE,2:3,BO5
2025-02-2717:00,17:00,苏州KSG,长沙TES.A,0:3,BO5
2025-02-2720:00,20:00,重庆狼队,上海RNG.M,3:2,BO5
2025-02-2814:00,14:00,杭州LGD.NBW,济南RW侠,2:3,BO5
2025-02-2817:00,17:00,武汉eStarPro,深圳DYG,3:2,BO5
2025-02-2820:00,20:00,成都AG超玩会,深圳KLG,2:3,BO5
2025-03-0114:00,14:00,上海EDG.M,北京JDG,3:0,BO5
2025-03-0117:00,17:00,苏州KSG,佛山DRG,3:0,BO5
2025-03-0120:00,20:00,重庆狼队,长沙TES.A,3:1,BO5
2025-03-0214:00,14:00,深圳DYG,西安WE,2:3,BO5
2025-03-0217:00,17:00,广州TTG,上海RNG.M,3:0,BO5
2025-03-0220:00,20:00,成都AG超玩会,桐乡情久,3:1,BO5
2025-03-0617:00,17:00,上海RNG.M,深圳DYG,3:0,BO5
2025-03-0620:00,20:00,武汉eStarPro,佛山DRG,0:3,BO5
2025-03-0717:00,17:00,长沙TES.A,桐乡情久,2:3,BO5
2025-03-0720:00,20:00,苏州KSG,济南RW侠,3:2,BO5
2025-03-0814:00,14:00,北京JDG,上海RNG.M,2:3,BO5
2025-03-0817:00,17:00,北京WB,西安WE,3:0,BO5
2025-03-0820:00,20:00,成都AG超玩会,上海EDG.M,3:2,BO5
2025-03-0914:00,14:00,深圳KLG,深圳DYG,2:3,BO5
2025-03-0917:00,17:00,杭州LGD.NBW,南通Hero久竞,2:3,BO5
2025-03-0920:00,20:00,重庆狼队,广州TTG,3:2,BO5
2025-03-1217:00,17:00,上海RNG.M,桐乡情久,3:2,BO5
2025-03-1220:00,20:00,济南RW侠,佛山DRG,0:3,BO5
2025-03-1317:00,17:00,北京JDG,长沙TES.A,1:3,BO5
2025-03-1320:00,20:00,广州TTG,上海EDG.M,2:3,BO5
2025-03-1417:00,17:00,武汉eStarPro,西安WE,3:0,BO5
2025-03-1420:00,20:00,重庆狼队,南通Hero久竞,3:2,BO5
2025-03-1514:00,14:00,北京JDG,深圳KLG,1:3,BO5
2025-03-1517:00,17:00,苏州KSG,北京WB,2:3,BO5
2025-03-1520:00,20:00,杭州LGD.NBW,成都AG超玩会,0:3,BO5
2025-03-1614:00,14:00,长沙TES.A,深圳DYG,3:0,BO5
2025-03-1617:00,17:00,佛山DRG,西安WE,3:0,BO5
2025-03-1620:00,20:00,重庆狼队,上海EDG.M,3:1,BO5
2025-03-1917:00,17:00,长沙TES.A,上海RNG.M,3:0,BO5
2025-03-1920:00,20:00,北京WB,济南RW侠,2:3,BO5
2025-03-2017:00,17:00,南通Hero久竞,上海EDG.M,2:3,BO5
2025-03-2020:00,20:00,杭州LGD.NBW,广州TTG,3:1,BO5
2025-03-2117:00,17:00,深圳KLG,桐乡情久,2:3,BO5
2025-03-2120:00,20:00,苏州KSG,武汉eStarPro,3:2,BO5
2025-03-2214:00,14:00,广州TTG,南通Hero久竞,3:2,BO5
2025-03-2217:00,17:00,北京WB,佛山DRG,1:3,BO5
2025-03-2220:00,20:00,重庆狼队,成都AG超玩会,0:3,BO5
2025-03-2314:00,14:00,深圳DYG,北京JDG,1:3,BO5
2025-03-2317:00,17:00,苏州KSG,西安WE,3:1,BO5
2025-03-2320:00,20:00,武汉eStarPro,济南RW侠,2:3,BO5
2025-03-2617:00,17:00,长沙TES.A,深圳KLG,3:0,BO5
2025-03-2620:00,20:00,济南RW侠,西安WE,3:0,BO5
2025-03-2717:00,17:00,深圳DYG,桐乡情久,1:3,BO5
2025-03-2720:00,20:00,杭州LGD.NBW,上海EDG.M,3:2,BO5
2025-03-2817:00,17:00,深圳KLG,上海RNG.M,3:0,BO5
2025-03-2820:00,20:00,成都AG超玩会,南通Hero久竞,3:1,BO5
2025-03-2917:00,17:00,北京JDG,桐乡情久,3:1,BO5
2025-03-2920:00,20:00,北京WB,武汉eStarPro,3:1,BO5
2025-03-3014:00,14:00,苏州KSG,佛山DRG,1:3,BO5
2025-03-3017:00,17:00,重庆狼队,杭州LGD.NBW,3:2,BO5
2025-03-3020:00,20:00,成都AG超玩会,广州TTG,3:0,BO5
2025-04-0114:00,14:00,西安WE,长沙TES.A,2:4,BO7
2025-04-0119:00,19:00,南通Hero久竞,北京WB,0:4,BO7
2025-04-0214:00,14:00,武汉eStarPro,桐乡情久,4:0,BO7
2025-04-0219:00,19:00,广州TTG,佛山DRG,1:4,BO7
2025-04-0514:00,14:00,南通Hero久竞,长沙TES.A,0:3,BO5
2025-04-0517:00,17:00,济南RW侠,广州TTG,3:2,BO5
2025-04-0520:00,20:00,成都AG超玩会,佛山DRG,3:1,BO5
2025-04-0614:00,14:00,苏州KSG,武汉eStarPro,3:2,BO5
2025-04-0617:00,17:00,北京WB,上海EDG.M,1:3,BO5
2025-04-0620:00,20:00,杭州LGD.NBW,重庆狼队,1:3,BO5
2025-04-0917:00,17:00,苏州KSG,济南RW侠,1:3,BO5
2025-04-0920:00,20:00,杭州LGD.NBW,佛山DRG,0:3,BO5
2025-04-1017:00,17:00,武汉eStarPro,长沙TES.A,3:2,BO5
2025-04-1020:00,20:00,南通Hero久竞,广州TTG,3:2,BO5
2025-04-1117:00,17:00,重庆狼队,上海EDG.M,3:1,BO5
